secretaria,denuncia,doacao,elogio,informacao,reclamacao,simplifique,solicitacao,sugestao,total
Animais,0,0,0,0,0,0,0,0,0
Denuncia Descarte Irregular,172,0,0,0,0,0,150,0,322
Direitos Humanos Denuncias de discriminacao e violencias,1,0,0,0,1,0,0,0,2
LGPD Lei Geral de Protecao de Dados,17,0,0,0,0,0,30,0,47
PAT Posto de Atendimento do Trabalhador,0,0,0,0,0,0,0,0,0
Secretaria de Agronegocios e Areas Rurais,2,0,0,0,1,0,326,2,331
Secretaria de Comunicacao,44,0,15,10267,115,0,24,37,10502
Secretaria de Esportes e Lazer,0,0,0,0,1,0,3,95,99
Secretaria de Fazenda,43,0,0,0,10,0,494,3,550
Secretaria de Meio Ambiente e Saneamento,139,0,0,0,4,0,468,3,614
Secretaria de Obras e Servicos Publicos,92,0,1,6,36,0,16572,46,16753
Secretaria de Planejamento e Urbanismo,12,0,0,0,5,0,196,2,215
Secretaria de Protecao Animal,1402,0,0,1,1,0,232,0,1636
Secretaria de Saude,239,0,7,3,92,0,827,12,1180
Secretaria de Seguranca Publica e Defesa Civil,223,0,3,1,37,0,313,9,586
Secretaria de Tecnologia e Eficiencia,5,0,2,4,0,0,39,1,51
Secretaria dos Transportes e Mobilidade Urbana,20,0,2,1,84,0,1148,452,1707
